country,type,voltage,frequency
Cocos Islands,I,230 V,50 Hz
Colombia,"A,B",110 V,60 Hz
Comoros,"C,E",230 V,50 Hz
Congo-Brazzaville,"C,E",230 V,50 Hz
Congo-Kinshasa,"C,E",230 V,50 Hz
Cook Islands,I,240 V,50 Hz
Costa Rica,"A,B",120 V,60 Hz
Côte d’Ivoire,"C,E",230 V,50 Hz
Croatia,"C,F",230 V,50 Hz
Cuba,"A,B",120 V,60 Hz
Curaçao,"A,B",127 V,50 Hz
"Cyprus, North",G,230 V,50 Hz
Cyprus,G,230 V,50 Hz
Czech Republic,"C,E",230 V,50 Hz
Denmark,"C,F,K",230 V,50 Hz
Djibouti,"C,E",230 V,50 Hz
Dominica,G,230 V,50 Hz
Dominican Republic,"A,B",120 V,60 Hz
Dubai,G,230 V,50 Hz
East Timor,"C,E,F,I",230 V,50 Hz
Ecuador,"A,B",120 V,60 Hz
Egypt,"C,F",230 V,50 Hz
El Salvador,"A,B",120 V,60 Hz
England,G,230 V,50 Hz
Equatorial Guinea,"C,E",230 V,50 Hz
Eritrea,"C,E,L",230 V,50 Hz
Estonia,"C,F",230 V,50 Hz
Eswatini,"C,M,N",230 V,50 Hz
Ethiopia,"C,F,G",230 V,50 Hz
Falkland Islands,G,240 V,50 Hz
Faroe Islands,"C,F,K",230 V,50 Hz
Fiji,I,240 V,50 Hz
Finland,"C,F",230 V,50 Hz
France,"C,E",230 V,50 Hz
French Guiana,"C,E",230 V,50 Hz
French Polynesia,"C,E",230 V,60 Hz
Tahiti,"C,E",230 V,60 Hz
Gabon,"C,E",230 V,50 Hz
Gambia,G,230 V,50 Hz
Gaza Strip,"C,H",230 V,50 Hz
Georgia,"C,F",230 V,50 Hz
Germany,"C,F",230 V,50 Hz
Ghana,G,230 V,50 Hz
Gibraltar,G,230 V,50 Hz
Great Britain,G,230 V,50 Hz
Greece,"C,F",230 V,50 Hz
Greenland,"C,F,K",230 V,50 Hz
Grenada,G,230 V,50 Hz
Guadeloupe,"C,E",230 V,50 Hz
Guam,"A,B",110 V,60 Hz
Guatemala,"A,B",120 V,60 Hz
Guernsey,G,230 V,50 Hz
Guinea-Bissau,"C,F",230 V,50 Hz
Guinea,"C,F",230 V,50 Hz
Guyana,"A,B",110 V / 220 V,50 Hz / 60 Hz
Haiti,"A,B",110 V,60 Hz
Holland,"C,F",230 V,50 Hz
Honduras,"A,B",120 V,60 Hz
Hong Kong,G,230 V,50 Hz
Hungary,"C,F",230 V,50 Hz
Iceland,"C,F",230 V,50 Hz
India,"D,M",230 V,50 Hz
Indonesia,"C,F",230 V,50 Hz
Iran,"C,F",230 V,50 Hz
Iraq,"C,G",230 V,50 Hz
"Ireland, Northern",G,230 V,50 Hz
Ireland,G,230 V,50 Hz
Isle of Man,G,230 V,50 Hz
Israel,"C,H",230 V,50 Hz
Italy,"C,F,L",230 V,50 Hz
Jamaica,"A,B",110 V,50 Hz
Japan,"A,B",100 V,50 Hz / 60 Hz
Jersey,G,230 V,50 Hz
Jordan,"C,F,G",230 V,50 Hz
Kazakhstan,"C,F",230 V,50 Hz
Kenya,G,240 V,50 Hz
Kiribati,I,240 V,50 Hz
"Korea, North","C,F",230 V,50 Hz
"Korea, South","C,F",230 V,60 Hz
Kosovo,"C,F",230 V,50 Hz
Kuwait,G,230 V,50 Hz
Kyrgyzstan,"C,F",230 V,50 Hz
Laos,"A,B,C",230 V,50 Hz
Latvia,"C,F",230 V,50 Hz
Lebanon,"C,F",230 V,50 Hz
Lesotho,M,230 V,50 Hz
Liberia,"C,D,F,G",230 V,50 Hz
Libya,"C,F,L",230 V,50 Hz
Liechtenstein,"C,J",230 V,50 Hz
Lithuania,"C,F",230 V,50 Hz
Luxembourg,"C,F",230 V,50 Hz
Macau,G,230 V,50 Hz
"Macedonia, North","C,F",230 V,50 Hz
Madagascar,"C,E",230 V,50 Hz
Madeira,"C,F",230 V,50 Hz
Malawi,G,230 V,50 Hz
Malaysia,G,230 V,50 Hz
Maldives,"C,D,G",230 V,50 Hz
Mali,"C,E",230 V,50 Hz
Malta,G,230 V,50 Hz
Marshall Islands,"A,B",120 V,60 Hz
Martinique,"C,E",230 V,50 Hz
Mauritania,"C,E",230 V,50 Hz
Mauritius,"C,E,G",230 V,50 Hz
Mayotte,"C,E",230 V,50 Hz
Mexico,"A,B",127 V,60 Hz
Moldova,"C,F",230 V,50 Hz
Monaco,"C,E",230 V,50 Hz
Mongolia,"C,F",230 V,50 Hz
Montenegro,"C,F",230 V,50 Hz
Montserrat,"A,B,G",230 V,60 Hz
Morocco,"C,E",230 V,50 Hz
Mozambique,"C,F,M,N",230 V,50 Hz
Myanmar,"A,B,C,D,E,F,G,I",230 V,50 Hz
Namibia,"C,M,N",230 V,50 Hz
Nauru,I,240 V,50 Hz
Nepal,"C,D,M",230 V,50 Hz
Netherlands,"C,F",230 V,50 Hz
New Caledonia,"C,E",230 V,50 Hz
New Zealand,I,230 V,50 Hz
Nicaragua,"A,B",120 V,60 Hz
Niger,"C,E",230 V,50 Hz
Nigeria,G,230 V,50 Hz
Niue,I,230 V,50 Hz
Norfolk Island,I,230 V,50 Hz
North Cyprus,G,230 V,50 Hz
North Korea,"C,F",230 V,50 Hz
North Macedonia,"C,F",230 V,50 Hz
Northern Ireland,G,230 V,50 Hz
Norway,"C,F",230 V,50 Hz
Oman,G,230 V,50 Hz
Pakistan,"C,D",230 V,50 Hz
Palau,"A,B",120 V,60 Hz
Palestine,"C,H",230 V,50 Hz
Panama,"A,B",120 V,60 Hz
Papua New Guinea,I,240 V,50 Hz
Paraguay,"A,B,C,N",230 V,50 Hz
Peru,"A,B,C",230 V,60 Hz
Philippines,"A,B,C",230 V,60 Hz
Pitcairn Islands,I,230 V,50 Hz
Poland,"C,E",230 V,50 Hz
Portugal,"C,F",230 V,50 Hz
Puerto Rico,"A,B",120 V,60 Hz
Qatar,G,240 V,50 Hz
Réunion,"C,E",230 V,50 Hz
Romania,"C,F",230 V,50 Hz
Russia,"C,F",230 V,50 Hz
Rwanda,"C,E,F,G",230 V,50 Hz
Saba,"A,B",110 V,60 Hz
Saint Barthélemy,"C,E",230 V,60 Hz
Saint Helena,G,230 V,50 Hz
Saint Kitts and Nevis,"A,B,G",230 V,60 Hz
Saint Lucia,G,230 V,50 Hz
Saint Martin,"C,E",230 V,60 Hz
Saint Pierre and Miquelon,"C,E",230 V,50 Hz
Saint Vincent and the Grenadines,"A,B,G",230 V,50 Hz
Samoa,I,230 V,50 Hz
San Marino,"C,F,L",230 V,50 Hz
São Tomé and Príncipe,"C,F",230 V,50 Hz
Saudi Arabia,G,230 V,60 Hz
Scotland,G,230 V,50 Hz
Senegal,"C,E",230 V,50 Hz
Serbia,"C,F",230 V,50 Hz
Seychelles,G,240 V,50 Hz
Sierra Leone,G,230 V,50 Hz
Singapore,G,230 V,50 Hz
Sint Eustatius,"A,B",110 V,60 Hz
Sint Maarten,"A,B",110 V,60 Hz
Slovakia,"C,E",230 V,50 Hz
Slovenia,"C,F",230 V,50 Hz
Solomon Islands,I,230 V,50 Hz
Somalia,"C,G",230 V,50 Hz
Somaliland,"C,G",230 V,50 Hz
South Africa,"C,M,N",230 V,50 Hz
South Korea,"C,F",230 V,60 Hz
South Sudan,"C,D,G",230 V,50 Hz
Spain,"C,F",230 V,50 Hz
Sri Lanka,G,230 V,50 Hz
Sudan,"C,D,G",230 V,50 Hz
Suriname,"A,B",110 V,60 Hz
Swaziland,"C,M,N",230 V,50 Hz
Sweden,"C,F",230 V,50 Hz
Switzerland,"C,J",230 V,50 Hz
Syria,"C,E,F,L",230 V,50 Hz
Taiwan,"A,B",110 V,60 Hz
Tajikistan,"C,F",230 V,50 Hz
Tanzania,G,230 V,50 Hz
Thailand,"A,B,C,O",230 V,50 Hz
Timor-Leste,"C,E,F,I",230 V,50 Hz
Togo,"C,E",230 V,50 Hz
Tokelau,I,230 V,50 Hz
Tonga,I,240 V,50 Hz
Trinidad & Tobago,"A,B",115 V,60 Hz
Tunisia,"C,E",230 V,50 Hz
Turkey,"C,F",230 V,50 Hz
Turkmenistan,"C,F",230 V,50 Hz
Turks and Caicos Islands,"A,B",120 V,60 Hz
Tuvalu,I,230 V,50 Hz
Uganda,G,240 V,50 Hz
Ukraine,"C,F",230 V,50 Hz
United Arab Emirates,G,230 V,50 Hz
United Kingdom,G,230 V,50 Hz
United States of America,"A,B",120 V,60 Hz
United States Virgin Islands,"A,B",110 V,60 Hz
Uruguay,"C,F,L",230 V,50 Hz
Uzbekistan,"C,F",230 V,50 Hz
Vanuatu,I,230 V,50 Hz
Vatican City,"C,F,L",230 V,50 Hz
Venezuela,"A,B",120 V,60 Hz
Vietnam,"A,B,C",230 V,50 Hz
Virgin Islands,"A,B",110 V,60 Hz
Virgin Islands,"A,B",110 V,60 Hz
Wales,G,230 V,50 Hz
Wallis and Futuna,"C,E",230 V,50 Hz
West Bank,"C,H",230 V,50 Hz
Western Sahara,"C,E",230 V,50 Hz
Yemen,"C,D,G",230 V,50 Hz
Zambia,G,230 V,50 Hz
Zimbabwe,G,230 V,50 Hz
